[03:13:44] [main/INFO]: ModLauncher running: args [--username, Dimanchick22, --version, forge-43.4.0, --gameDir, C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4, --assetsDir, C:\Users\Dimanchick22\curseforge\minecraft\Install\assets, --assetIndex, 1.19, --uuid, 0f34fd3a80234869b2442c53ea261899, --accessToken, ????????, --clientId, YWIyZWY3NWMtNmMyMi00YTNlLWJlNjEtOWU0ZWM4ZDU4ZTdh, --xuid, 2535429156071316, --userType, msa, --versionType, release, --width, 1024, --height, 768, --launchTarget, forgeclient, --fml.forgeVersion, 43.4.0, --fml.mcVersion, 1.19.2, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20220805.130853]
[03:13:44] [main/INFO]: ModLauncher 10.0.8+10.0.8+main.0ef7e830 starting: java version 17.0.8 by Microsoft; OS Windows 10 arch amd64 version 10.0
[03:13:51] [main/INFO]: Found mod file appleskin-forge-mc1.19-2.4.2.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file Applied-Botanics-forge-1.4.6.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file appliedenergistics2-forge-12.9.9.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file Aquaculture-1.19.2-2.4.17.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file aquamirae-6.API15.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file architectury-6.6.92-forge.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file arclight-2.0.10.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file AttributeFix-Forge-1.19.2-17.2.8.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file AutoRegLib-1.8.2-55.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file AvaritiaFurnace-4.0.0-1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file BadOptimizations-2.1.4-1.19.1-19.2.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file balm-forge-1.19.2-4.6.0.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file BetterAdvancements-1.19.2-0.2.2.147.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file betterstats-2.2.2+1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file BetterThirdPerson-Forge-1.19-1.9.0.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file biggerreactors-1.19.2-0.6.0-beta.6.4.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file blueprint-1.19.2-6.2.0.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file blur-forge-3.1.1+mc1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file Bookshelf-Forge-1.19.2-16.3.20.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file Botania-1.19.2-440-FORGE.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file BotanicAdditions-1.19.2-19.3.6.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file BotanicalMachinery-1.19.2-2.0.5.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file botarium-forge-1.19.2-1.9.2.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file caelus-forge-1.19.2-3.0.0.6.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file celestial_1.19_forge-1.3.6.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file chemlib-1.19.2-2.0.19.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file chickensmod-1.19.2-1.0.32.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file chickensplus-1.0.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file chipped-forge-1.19.2-2.1.5.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file citadel-2.1.4-1.19.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file cloth-config-8.3.115-forge.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file Clumps-forge-1.19.2-9.0.0+14.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file CNB-1.19-1.5.4.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file cobweb-forge-1.19.2-1.0.0.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file cofh_core-1.19.2-10.3.1.48.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file collective-1.19.2-7.64.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file collectorsreap-1.19-1.2.4.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file CommonCapabilities-1.19.2-2.9.1.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file compactcrafting-3.1.0.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file compactmachines-5.1.0.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file configured-2.1.1-1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file connectivity-1.19.2-4.6.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file constructionwand-1.19.2-2.10.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file Controlling-forge-1.19.2-10.0+7.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file copperoverhaul-MC1.19.2-22.10.11.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file corpse-forge-1.19.2-1.0.12.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file CosmeticArmorReworked-1.19.2-v1a.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file crafting-on-a-stick-1.19.2-1.1.2.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file create-1.19.2-0.5.1.f.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file create-confectionery1.19.2_v1.0.9.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file create-stuff-additions1.19.2_v2.0.4a.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file create_central_kitchen-1.19.2-for-create-0.5.1.f-1.3.11.c.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file create_crystal_clear-0.2.1-1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file create_enchantment_industry-1.19.2-for-create-0.5.1.f-1.2.9.e.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file createaddition-1.19.2-1.2.3.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file createbigcannons-5.5.0-mc.1.19.2-forge.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file createcafe-1.2.4-1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file CreateCasing-1.19.2-1.6.1.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file creategoggles-1.19.2-0.5.5.g-[FORGE].jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file creeperoverhaul-2.0.9-forge.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file CTM-1.19.2-1.1.6+8.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file cupboard-1.19.2-2.6.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file curios-forge-1.19.2-5.1.6.3.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file CuriosQuarkOBP-1.19.2-1.2.4.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file curiotiab-1.19.2-1.5.1.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file CyclopsCore-1.19.2-1.19.4.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file deeperdarker-forge-1.19.2-1.2.2.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file Delightful-1.19.2-3.4.1.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file DimStorage-1.19.2-7.2.0.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file drippyloadingscreen_forge_3.0.1_MC_1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file Droplight-1.19.2-forge-1.0.6.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file dummmmmmy-1.19.2-1.7.1.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file dynamic-fps-3.6.1+minecraft-1.19.0-forge.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file easy-piglins-forge-1.19.2-1.0.9.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file easy-villagers-forge-1.19.2-1.1.15.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file eatinganimation-1.19-3.2.0.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file EdivadLib-1.19.2-1.2.0.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file embeddium-0.3.18.1+mc1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file embeddiumplus-1.19.2-v1.2.13.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file EnchantmentDescriptions-Forge-1.19.2-13.0.14.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file endersdelight-1.19-1.2.2.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file endertrigon-1.0.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file EnigmaticLegacy-2.26.5.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file Entity_Collision_FPS_Fix-forge-1.19-2.0.0.0.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file ExperienceBugFix-1.19-1.41.2.3.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file extendedgears-2.1.1-1.19.2-0.5.1.f-forge.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file Fallingleaves-1.19.1-1.3.1.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file fancymenu_forge_3.2.3_MC_1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file FarmersDelight-1.19.2-1.2.4.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file FarmersRespite-1.19-2.0.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file fastfooddelight-1.19-1.2.4.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file FastFurnace-1.19.2-7.0.0.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file FastSuite-1.19.2-4.1.1.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file FastWorkbench-1.19.2-7.1.4.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file ferritecore-5.0.3-forge.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file Festive_Delight_1.3_Forge_1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file findme-3.1.0-forge.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file foodeffecttooltips-1.0.2+forge-1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file forbidden_arcanus-1.19.2-2.1.5.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file ftb-chunks-forge-1902.4.6-build.360.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file ftb-industrial-contraptions-1900.1.7-build.221.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file ftb-library-forge-1902.4.1-build.236.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file ftb-quests-forge-1902.5.9-build.399.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file ftb-teams-forge-1902.2.14-build.123.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file ftb-xmod-compat-forge-1.2.4.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file ftbbackups2-forge-1.19.2-1.0.23.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file fullbrightnesstoggle-1.19.2-4.0.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file GameStages-Forge-1.19.2-11.1.4.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file gardens-of-the-dead-forge-2.0.2.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file geckolib-forge-1.19-3.1.40.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file glassential-forge-1.19-1.2.4.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file goblintraders-1.8.0-1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file gribarmor-0.1.0-1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file HammerLib-1.19.2-19.3.82.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file handcrafted-forge-1.19.2-2.0.6.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file harvest-with-ease-forge-1.19.2-9.0.1.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
[03:13:51] [main/INFO]: Found mod file hexerei-0.3.3.1.jar of type MOD with provider {mods folder locator at C:\Users\Dimanchick22\curseforge\minecraft\Instances\TechnoMagic 4\mods}
